../log/mip/log_instance_1.txt:Result: runtime = 0.066911 sec; objective value = 6
../log/mip/log_instance_2.txt:Result: runtime = 0.0853999 sec; objective value = 12
../log/mip/log_instance_3.txt:Result: runtime = 0.0552549 sec; objective value = 16
